strategy,timeframe,instrument,year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
T2,H1,GLDRUBF,2023,7,0,,,0,0,,
T2,H1,GLDRUBF,2023,8,5,,1.99096639666,9.95483198329,0,,1
T2,H1,GLDRUBF,2023,9,3,0.729031575424,-0.113296744905,-0.339890234715,-1.25435365854,-0.270968424576,0.333333333333
T2,H1,GLDRUBF,2023,10,3,0.221651806553,-0.518931814071,-1.55679544221,-2.0001272635,-0.778348193447,0.333333333333
T2,H1,GLDRUBF,2023,11,0,,,0,0,,
T2,H1,GLDRUBF,2023,12,2,1.40296939379,0.195735865625,0.39147173125,-0.971467653092,0.402969393787,0.5
T2,H1,GLDRUBF,2024,1,1,0,-0.401672261821,-0.401672261821,-0.401672261821,-1,0
T2,H1,GLDRUBF,2024,2,5,1.28259015387,0.14248967659,0.712448382949,-2.52113661146,0.282590153865,0.4
T2,H1,GLDRUBF,2024,3,3,0,-0.720899420314,-2.16269826094,-2.16269826094,-1,0
T2,H1,GLDRUBF,2024,4,4,2.09154948363,0.287647512662,1.15059005065,-1.00007137881,1.15050792876,0.5
T2,H1,GLDRUBF,2024,5,4,2.24479165732,0.307487255528,1.22994902211,-0.988076209281,1.24479165732,0.5
T2,H1,GLDRUBF,2024,6,2,2.37930727208,0.689677095079,1.37935419016,-1.00003401569,1.37930727208,0.5
T2,H1,GLDRUBF,2024,7,2,3.90844856379,1.1626192711,2.32523854219,-0.799477278414,2.90844856379,0.5
T2,H1,GLDRUBF,2024,8,1,,1.44922277108,1.44922277108,0,,1
T2,H1,GLDRUBF,2024,9,4,0.973578116369,-0.0132118666698,-0.052847466679,-2.00014001335,-0.0264218836313,0.5
T2,H1,GLDRUBF,2024,10,4,2.54223226098,0.468789029523,1.87515611809,-1.21587141284,1.54223226098,0.25
T2,H1,GLDRUBF,2024,11,3,0,-0.54536053886,-1.63608161658,-1.63608161658,-1,0
T2,H1,GLDRUBF,2024,12,1,,0.217179771131,0.217179771131,0,,1
T2,H1,IMOEXF,2023,11,0,,,0,0,,
T2,H1,IMOEXF,2023,12,3,0,-0.891702083669,-2.67510625101,-2.67510625101,-1,0
T2,H1,IMOEXF,2024,1,1,,0.846565262536,0.846565262536,0,,1
T2,H1,IMOEXF,2024,2,2,7.39024843129,1.53381468989,3.06762937978,-0.480048532191,6.39024843129,0.5
T2,H1,IMOEXF,2024,3,4,1.31948864795,0.093500360832,0.374001443328,-0.933063858496,0.400831561444,0.5
T2,H1,IMOEXF,2024,4,4,33.0456064141,1.70601406257,6.82405625028,-0.212948263862,32.0456064141,0.75
T2,H1,IMOEXF,2024,5,2,42.9408640499,1.37050476415,2.74100952829,-0.0653541501918,41.9408640499,0.5
T2,H1,IMOEXF,2024,6,1,0,-0.357472472027,-0.357472472027,-0.357472472027,-1,0
T2,H1,IMOEXF,2024,7,1,0,-0.92616059861,-0.92616059861,-0.92616059861,-1,0
T2,H1,IMOEXF,2024,8,2,0.0195287569447,-0.490288431325,-0.980576862651,-1.0001077233,-0.980471243055,0.5
T2,H1,IMOEXF,2024,9,2,0,-0.536591607154,-1.07318321431,-1.07318321431,-1,0
T2,H1,IMOEXF,2024,10,1,,1.57928805972,1.57928805972,0,,1
T2,H1,IMOEXF,2024,11,4,2.17482197639,0.559578613448,2.23831445379,-1.00004041962,2.23822398562,0.5
T2,H1,IMOEXF,2024,12,2,1.84651766025,0.423289771722,0.846579543443,-1.00007310325,0.846517660251,0.5
