level_family_id,level_snapshot_id,snapshot_version,instrument,level_type,level_price,valid_from,first_touch,last_touch,touch_count,touch_times,tolerance_ticks,min_touches,round_confluence,historical,mirror,source_pivot_ids,source_sides,known_index,level_id,price,known_time
CNYRUBF-L14,CNYRUBF-L14-V2,2,CNYRUBF,EL,11.387666666666666,2026-01-06 14:50:00+03:00,2026-01-05 14:20:00+03:00,2026-01-06 14:35:00+03:00,3,2026-01-05 14:20:00+03:00|2026-01-05 18:20:00+03:00|2026-01-06 14:35:00+03:00,2,2,False,True,False,19|37|75,LOW|LOW|LOW,217,CNYRUBF-L14-V2,11.387666666666666,2026-01-06 14:50:00+03:00
CNYRUBF-L23,CNYRUBF-L23-V2,2,CNYRUBF,EL,11.387,2026-01-06 14:55:00+03:00,2026-01-05 18:25:00+03:00,2026-01-06 14:45:00+03:00,3,2026-01-05 18:25:00+03:00|2026-01-06 14:20:00+03:00|2026-01-06 14:45:00+03:00,2,2,False,True,False,38|73|76,LOW|LOW|LOW,218,CNYRUBF-L23-V2,11.387,2026-01-06 14:55:00+03:00
CNYRUBF-L18,CNYRUBF-L18-V3,3,CNYRUBF,MIRROR,11.4065,2026-01-06 15:00:00+03:00,2026-01-05 16:15:00+03:00,2026-01-06 14:50:00+03:00,4,2026-01-05 16:15:00+03:00|2026-01-05 16:50:00+03:00|2026-01-05 20:15:00+03:00|2026-01-06 14:50:00+03:00,2,2,False,True,True,26|28|45|77,HIGH|HIGH|LOW|HIGH,219,CNYRUBF-L18-V3,11.4065,2026-01-06 15:00:00+03:00
CNYRUBF-L34,CNYRUBF-L34-V1,1,CNYRUBF,EL,11.3675,2026-01-06 15:55:00+03:00,2026-01-06 15:25:00+03:00,2026-01-06 15:45:00+03:00,2,2026-01-06 15:25:00+03:00|2026-01-06 15:45:00+03:00,2,2,False,False,False,78|79,LOW|LOW,230,CNYRUBF-L34-V1,11.3675,2026-01-06 15:55:00+03:00
CNYRUBF-L23,CNYRUBF-L23-V3,3,CNYRUBF,MIRROR,11.38675,2026-01-06 16:00:00+03:00,2026-01-05 18:25:00+03:00,2026-01-06 15:50:00+03:00,4,2026-01-05 18:25:00+03:00|2026-01-06 14:20:00+03:00|2026-01-06 14:45:00+03:00|2026-01-06 15:50:00+03:00,2,2,False,True,True,38|73|76|80,LOW|LOW|LOW|HIGH,231,CNYRUBF-L23-V3,11.38675,2026-01-06 16:00:00+03:00
CNYRUBF-L23,CNYRUBF-L23-V4,4,CNYRUBF,MIRROR,11.386599999999998,2026-01-06 16:15:00+03:00,2026-01-05 18:25:00+03:00,2026-01-06 16:00:00+03:00,5,2026-01-05 18:25:00+03:00|2026-01-06 14:20:00+03:00|2026-01-06 14:45:00+03:00|2026-01-06 15:50:00+03:00|2026-01-06 16:00:00+03:00,2,2,False,True,True,38|73|76|80|81,LOW|LOW|LOW|HIGH|HIGH,233,CNYRUBF-L23-V4,11.386599999999998,2026-01-06 16:15:00+03:00
CNYRUBF-L34,CNYRUBF-L34-V2,2,CNYRUBF,EL,11.367333333333335,2026-01-06 16:45:00+03:00,2026-01-06 15:25:00+03:00,2026-01-06 16:35:00+03:00,3,2026-01-06 15:25:00+03:00|2026-01-06 15:45:00+03:00|2026-01-06 16:35:00+03:00,2,2,False,False,False,78|79|83,LOW|LOW|LOW,239,CNYRUBF-L34-V2,11.367333333333335,2026-01-06 16:45:00+03:00
CNYRUBF-L34,CNYRUBF-L34-V3,3,CNYRUBF,MIRROR,11.367250000000002,2026-01-06 17:10:00+03:00,2026-01-06 15:25:00+03:00,2026-01-06 17:00:00+03:00,4,2026-01-06 15:25:00+03:00|2026-01-06 15:45:00+03:00|2026-01-06 16:35:00+03:00|2026-01-06 17:00:00+03:00,2,2,False,False,True,78|79|83|84,LOW|LOW|LOW|HIGH,244,CNYRUBF-L34-V3,11.367250000000002,2026-01-06 17:10:00+03:00
CNYRUBF-L11,CNYRUBF-L11-V1,1,CNYRUBF,MIRROR,11.372,2026-01-06 17:30:00+03:00,2026-01-05 13:05:00+03:00,2026-01-06 17:20:00+03:00,2,2026-01-05 13:05:00+03:00|2026-01-06 17:20:00+03:00,2,2,False,True,True,11|86,LOW|HIGH,248,CNYRUBF-L11-V1,11.372,2026-01-06 17:30:00+03:00
CNYRUBF-L11,CNYRUBF-L11-V2,2,CNYRUBF,MIRROR,11.372,2026-01-06 17:45:00+03:00,2026-01-05 13:05:00+03:00,2026-01-06 17:35:00+03:00,3,2026-01-05 13:05:00+03:00|2026-01-06 17:20:00+03:00|2026-01-06 17:35:00+03:00,2,2,False,True,True,11|86|87,LOW|HIGH|HIGH,251,CNYRUBF-L11-V2,11.372,2026-01-06 17:45:00+03:00
