generation,lifecycle_stage,strategy,timeframe,quarter,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v2,baseline,T3,H1,2024-Q2,77,1.4305981774,0.202311168195,15.577959951,-12.7366428482,0.402597402597
v2,baseline,T3,H1,2024-Q3,50,1.73797957852,0.298571568019,14.928578401,-4.21209157347,0.44
v2,baseline,T3,H1,2024-Q4,31,2.71268938716,0.71794913936,22.2564233202,-3.39152163397,0.516129032258
v2,walk_forward,T3,H1,2024-Q1,14,1.20686083458,0.109706627553,1.53589278574,-5.54890263689,0.285714285714
v2,walk_forward,T3,H1,2024-Q2,47,1.34414857853,0.190324144604,8.94523479641,-10.3348579463,0.31914893617
v2,walk_forward,T3,H1,2024-Q3,23,1.58072288445,0.261147359917,6.0063892781,-4.11958852033,0.478260869565
v2,walk_forward,T3,H1,2024-Q4,11,4.0147391159,1.14576788491,12.6034467341,-3.08201978075,0.727272727273
v2,true_oos,T3,H1,2025-Q1,17,2.29833663914,0.563647011371,9.5819991933,-2.92233849457,0.411764705882
v2,true_oos,T3,H1,2025-Q2,30,1.42961384933,0.230261081613,6.90783244838,-10.746018531,0.333333333333
v2,true_oos,T3,H1,2025-Q3,51,1.34059431701,0.186107907879,9.49150330183,-11.5794449564,0.392156862745
v2,true_oos,T3,H1,2025-Q4,67,1.02950205773,0.0161177547625,1.07988956909,-21.4505564874,0.313432835821
v2,true_oos,T3,H1,2026-Q1,54,2.12965395256,0.457446168653,24.7020931073,-6.07510057194,0.462962962963
v2,true_oos,T3,H1,2026-Q2,52,1.18688944838,0.0822250830974,4.27570432106,-10.9592127436,0.346153846154
v2,true_oos,T3,H1,2026-Q3,56,1.32688737293,0.148147258112,8.29624645428,-5.10603054043,0.375
v3,baseline,T2,M30,2023-Q1,24,0.639383376207,-0.163263650329,-3.91832760789,-7.92730526711,0.333333333333
v3,baseline,T2,M30,2023-Q2,19,2.975006339,0.707545352845,13.4433617041,-6.05055278026,0.315789473684
v3,baseline,T2,M30,2023-Q3,42,1.72002662692,0.27802554178,11.6770727547,-5.888593901,0.428571428571
v3,baseline,T2,M30,2023-Q4,47,1.38812300306,0.198717670678,9.33973052188,-8.40349707621,0.276595744681
v3,baseline,T2,M30,2024-Q1,62,0.957783408172,-0.021244412137,-1.31715355249,-7.64378222941,0.322580645161
v3,baseline,T2,M30,2024-Q2,63,1.65504114736,0.278259547766,17.5303515093,-5.52878753978,0.349206349206
v3,baseline,T2,M30,2024-Q3,51,1.88525206618,0.329767624889,16.8181488693,-3.80583109643,0.529411764706
v3,baseline,T2,M30,2024-Q4,58,2.32861448256,0.574800924936,33.3384536463,-5.18975037043,0.362068965517
v3,walk_forward,T2,M30,2024-Q1,45,1.26218658049,0.126581562894,5.69617033024,-5.73096612923,0.377777777778
v3,walk_forward,T2,M30,2024-Q2,57,1.31671650142,0.146150866295,8.33059937883,-5.81171314662,0.315789473684
v3,walk_forward,T2,M30,2024-Q3,45,1.87415814523,0.35890856645,16.1508854903,-3.80583109643,0.511111111111
v3,walk_forward,T2,M30,2024-Q4,46,2.5389013162,0.67869490044,31.2199654203,-5.18975037043,0.347826086957
v3,true_oos,T2,M30,2025-Q1,41,1.17855225956,0.102362055576,4.19684427862,-8.87519562635,0.243902439024
v3,true_oos,T2,M30,2025-Q2,44,0.434869339032,-0.316925944097,-13.9447415402,-13.9447415402,0.272727272727
v3,true_oos,T2,M30,2025-Q3,46,1.36931851197,0.22380296194,10.2949362492,-12.0435897596,0.347826086957
v3,true_oos,T2,M30,2025-Q4,53,1.72620098729,0.311059050446,16.4861296736,-5.70401327816,0.377358490566
v3,true_oos,T2,M30,2026-Q1,57,0.754747257497,-0.133565049644,-7.61320782971,-11.0538818909,0.245614035088
v3,true_oos,T2,M30,2026-Q2,53,2.81908544418,0.662456052908,35.1101708041,-4.82220812032,0.433962264151
v3,true_oos,T2,M30,2026-Q3,67,0.698940895402,-0.169360332924,-11.3471423059,-13.7634515966,0.313432835821
v3,baseline,T2,H1,2023-Q1,9,0.183581759148,-0.34377700148,-3.09399301332,-3.78041619454,0.222222222222
v3,baseline,T2,H1,2023-Q2,8,7.04772243871,1.88311551307,15.0649241045,-1.44501798488,0.5
v3,baseline,T2,H1,2023-Q3,21,3.13101297965,0.77256427023,16.2238496748,-3.85960162272,0.47619047619
v3,baseline,T2,H1,2023-Q4,23,1.10365299292,0.0510584363633,1.17434403635,-5.84565405439,0.347826086957
v3,baseline,T2,H1,2024-Q1,25,1.11813872164,0.0513176438376,1.28294109594,-4.43060922523,0.36
v3,baseline,T2,H1,2024-Q2,30,2.72883987353,0.56316786296,16.8950358888,-2.7047190113,0.433333333333
v3,baseline,T2,H1,2024-Q3,26,1.18034338308,0.0763720089607,1.98567223298,-2.88676085948,0.384615384615
v3,baseline,T2,H1,2024-Q4,34,3.22844488438,0.910415139176,30.954114732,-2.66417095415,0.411764705882
v3,walk_forward,T2,H1,2024-Q1,23,1.08013507764,0.0364368737193,0.838048095545,-4.43060922523,0.347826086957
v3,walk_forward,T2,H1,2024-Q2,20,3.31635111345,0.802785315704,16.0557063141,-2.93953525707,0.45
v3,walk_forward,T2,H1,2024-Q3,20,1.23405988164,0.0936143289523,1.87228657905,-2.81713074615,0.45
v3,walk_forward,T2,H1,2024-Q4,22,4.40880903559,1.34275122401,29.5405269283,-2.08327903047,0.545454545455
