generation,lifecycle_stage,strategy,timeframe,calendar_month,observed_years,trades,net_R,average_R_per_year,median_R_per_year,positive_year_count,negative_year_count,positive_year_share
v3,development,T2,H1,June,2,12,8.63557886528,4.31778943264,4.31778943264,1,1,0.5
v3,development,T2,H1,July,2,9,-0.108368260226,-0.054184130113,-0.054184130113,1,1,0.5
v3,development,T2,H1,August,2,18,19.9092574763,9.95462873815,9.95462873815,2,0,1
v3,development,T2,H1,September,2,20,-1.59136730827,-0.795683654134,-0.795683654134,1,1,0.5
v3,development,T2,H1,October,2,26,10.7625195389,5.38125976945,5.38125976945,2,0,1
v3,development,T2,H1,November,2,18,22.3328682095,11.1664341048,11.1664341048,1,1,0.5
v3,development,T2,H1,December,2,13,-0.966928980085,-0.483464490043,-0.483464490043,1,1,0.5
v3,walk_forward,T2,H1,January,1,2,-0.37282692985,-0.37282692985,-0.37282692985,0,1,0
v3,walk_forward,T2,H1,February,1,11,5.64148425063,5.64148425063,5.64148425063,1,0,1
v3,walk_forward,T2,H1,March,1,10,-4.43060922523,-4.43060922523,-4.43060922523,0,1,0
v3,walk_forward,T2,H1,April,1,6,1.59911546802,1.59911546802,1.59911546802,1,0,1
v3,walk_forward,T2,H1,May,1,9,13.5064032591,13.5064032591,13.5064032591,1,0,1
v3,walk_forward,T2,H1,June,1,5,0.950187586928,0.950187586928,0.950187586928,1,0,1
v3,walk_forward,T2,H1,July,1,2,-1.48418713003,-1.48418713003,-1.48418713003,0,1,0
v3,walk_forward,T2,H1,August,1,8,1.42933625079,1.42933625079,1.42933625079,1,0,1
v3,walk_forward,T2,H1,September,1,10,1.92713745829,1.92713745829,1.92713745829,1,0,1
v3,walk_forward,T2,H1,October,1,4,1.70450784747,1.70450784747,1.70450784747,1,0,1
v3,walk_forward,T2,H1,November,1,14,25.0037528462,25.0037528462,25.0037528462,1,0,1
v3,walk_forward,T2,H1,December,1,4,2.83226623465,2.83226623465,2.83226623465,1,0,1
v3,true_oos,T2,H1,January,2,10,0.11415514806,0.05707757403,0.05707757403,1,1,0.5
v3,true_oos,T2,H1,February,2,11,1.05562956803,0.527814784015,0.527814784015,1,1,0.5
v3,true_oos,T2,H1,March,2,11,3.60043967264,1.80021983632,1.80021983632,2,0,1
v3,true_oos,T2,H1,April,2,18,24.1266973328,12.0633486664,12.0633486664,2,0,1
v3,true_oos,T2,H1,May,2,16,-0.303126521132,-0.151563260566,-0.151563260566,1,1,0.5
v3,true_oos,T2,H1,June,2,13,-5.1536057025,-2.57680285125,-2.57680285125,0,2,0
v3,true_oos,T2,H1,July,2,25,20.9225061584,10.4612530792,10.4612530792,2,0,1
v3,true_oos,T2,H1,August,2,20,11.4721695015,5.73608475074,5.73608475074,1,1,0.5
