variant,month,trades,PF,net_R,positive_months,negative_months,largest_losing_month_R,largest_winning_month_R
EMA50_EXTENDED,2023-12,95,1.21032435332,10.5262441964,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-01,63,0.946917840107,-1.90456775345,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-02,60,0.267194438635,-30.5863170855,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-03,71,1.16641033157,6.106900252,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-04,77,0.532929459912,-22.9536178959,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-05,81,1.35638549542,15.8473423909,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-06,57,2.89173560165,36.770716691,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-07,66,0.472098645957,-19.6453819667,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-08,68,0.526061661492,-19.2390998129,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-09,75,0.942155514885,-2.26104498715,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-10,66,1.14238493475,4.32608379438,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-11,65,2.30015257101,32.8166335241,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2024-12,84,1.46024883219,17.9135087333,12,12,-30.5863170855,36.770716691
SESSION_EMA50_NORMAL,2023-01,9,0,-6.79148760837,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-02,7,6.00550744668,7.93527623207,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-03,12,0.56693540815,-3.11046896957,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-04,8,9.68446810592,23.2901834292,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-05,4,0,-3.48279941486,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-06,10,0.61185162123,-2.28575814503,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-07,12,3.09521040888,4.89790336838,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-08,11,4.73734687615,14.8455188693,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-09,12,0.273015190278,-5.36512417336,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-10,8,1.85657466391,2.95986771445,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-11,7,1.62149874196,2.16475341719,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2023-12,11,3.69047177443,16.1275169296,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-01,12,0.681398399728,-2.14413874303,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-02,9,0.356542091384,-2.60616809763,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-03,13,1.22595190458,1.76303778945,14,10,-6.79148760837,25.7853917223
SESSION_EMA50_NORMAL,2024-04,14,1.42570041468,4.0352973701,14,10,-6.79148760837,25.7853917223
