trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe,net_R,year
T3-M15-CNY-000023,T3,CNY,SHORT,2023-05-02 10:00:00+03:00,11.56,11.5907613197,0.030761319697,2023-05-02 10:15:00+03:00,11.5907613197,ATR_TRAILING_STOP,1,-1095.27582697,-1,0.030761319697,0,1,0,-0.030761319697,-1,35605.6189318,0,-1095.27582697,0.001,30.761319697,0,T3_MTF_Trend_v1.0,0.030761319697,CNYRUBF,M15,-1.06501671644,2023
T3-M15-CNY-000024,T3,CNY,SHORT,2023-05-02 12:30:00+03:00,11.45,11.4999695476,0.0499695475603,2023-05-02 18:15:00+03:00,11.4999695476,ATR_TRAILING_STOP,23,-1084.3230687,-1,0.0499695475603,0,1,0,-0.0499695475603,-1,21699.6775364,0,-1084.3230687,0.001,49.9695475603,0,T3_MTF_Trend_v1.0,0.0499695475603,CNYRUBF,M15,-1.0400243768,2023
T3-M15-Si-000025,T3,Si,SHORT,2023-05-02 10:45:00+03:00,80.11,80.3625505048,0.252550504844,2023-05-02 18:30:00+03:00,79.8362503812,ATR_TRAILING_STOP,31,1361.47528055,1.08394009739,0.03,0.65,0.118788121285,2.57374262785,0.273749618817,1.08394009739,4973.43260765,0,1361.47528055,0.001,252.550504844,0,T3_MTF_Trend_v1.0,0.252550504844,USDRUBF,M15,1.07602088931,2023
T3-M15-Si-000026,T3,Si,SHORT,2023-05-04 12:45:00+03:00,78.17,78.473221352,0.303221351991,2023-05-04 21:15:00+03:00,77.9993595115,ATR_TRAILING_STOP,34,714.511044296,0.562758814385,0.14,0.59,0.461708910276,1.94577326473,0.170640488542,0.562758814385,4187.23041876,0,714.511044296,0.001,303.221351991,0,T3_MTF_Trend_v1.0,0.303221351991,USDRUBF,M15,0.556162972809,2023
T3-M15-CNY-000025,T3,CNY,SHORT,2023-05-04 13:00:00+03:00,11.31,11.3560477966,0.0460477966121,2023-05-04 21:30:00+03:00,11.2934566614,ATR_TRAILING_STOP,33,385.663196937,0.359264499696,0.03,0.09,0.651496970696,1.95449091209,0.0165433386119,0.359264499696,23312.295419,0,385.663196937,0.001,46.0477966121,0,T3_MTF_Trend_v1.0,0.0460477966121,CNYRUBF,M15,0.315831368316,2023
T3-M15-Si-000027,T3,Si,SHORT,2023-05-05 10:45:00+03:00,76.83,77.2227831977,0.392783197693,2023-05-05 13:15:00+03:00,76.975407449,ATR_TRAILING_STOP,10,-472.669493162,-0.370197732096,0.15,0.52,0.381890062714,1.32388555074,-0.145407448991,-0.370197732096,3250.65528927,0,-472.669493162,0.001,392.783197693,0,T3_MTF_Trend_v1.0,0.392783197693,USDRUBF,M15,-0.375289599599,2023
T3-M15-CNY-000026,T3,CNY,SHORT,2023-05-05 09:15:00+03:00,11.24,11.2893545744,0.0493545744461,2023-05-05 14:45:00+03:00,11.15648221,ATR_TRAILING_STOP,22,1823.06831911,1.6921995773,0.01,0.18,0.202615463961,3.6470783513,0.0835177900154,1.6921995773,21828.5028708,0,1823.06831911,0.001,49.3545744461,0,T3_MTF_Trend_v1.0,0.0493545744461,CNYRUBF,M15,1.65167648451,2023
T3-M15-Si-000028,T3,Si,SHORT,2023-05-10 13:00:00+03:00,76.46,76.7622222042,0.302222204168,2023-05-10 18:30:00+03:00,76.5261379554,ATR_TRAILING_STOP,22,-278.379649886,-0.218838836252,0.0661379554496,0.53,0.218838836252,1.75367657535,-0.0661379554496,-0.218838836252,4209.07552999,0,-278.379649886,0.001,302.222204168,0,T3_MTF_Trend_v1.0,0.302222204168,USDRUBF,M15,-0.225456483706,2023
T3-M15-CNY-000027,T3,CNY,SHORT,2023-05-10 13:00:00+03:00,11.03,11.0811397786,0.0511397785811,2023-05-11 09:45:00+03:00,10.9703857575,ATR_TRAILING_STOP,47,1277.11554117,1.1657117845,0,0.12,0,2.34650996405,0.0596142425488,1.1657117845,21422.9936767,0,1277.11554117,0.001,51.1397785811,0,T3_MTF_Trend_v1.0,0.0511397785811,CNYRUBF,M15,1.1266032851,2023
T3-M15-CNY-000028,T3,CNY,SHORT,2023-05-11 10:45:00+03:00,10.85,10.9052745284,0.0552745283835,2023-05-11 13:30:00+03:00,10.9052745284,ATR_TRAILING_STOP,11,-1108.33830858,-1,0.0552745283835,0.03,1,0.542745472053,-0.0552745283835,-1,20051.5199496,0,-1108.33830858,0.001,55.2745283835,0,T3_MTF_Trend_v1.0,0.0552745283835,CNYRUBF,M15,-1.03618303147,2023
