strategy,diagnostic_run_id,month,trades,PF,expectancy,net_R
T3,LEGACY_DATA__V2_PARAMS,2026-06,8,3.5203077677,0.770662465671,6.16529972537
T3,LEGACY_DATA__V2_PARAMS,2026-07,5,0,-0.814799671044,-4.07399835522
T3,LEGACY_DATA__V2_PARAMS,2026-08,11,7.38292008038,1.10433142785,12.1476457064
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-01,0,,,0
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-02,4,8.82408133228,1.13630178671,4.54520714683
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-03,4,7.57655642693,1.64414428673,6.57657714694
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-04,3,0,-0.988942878944,-2.96682863683
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-05,1,0,-1.00000693773,-1.00000693773
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-06,2,0,-0.561041809569,-1.12208361914
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-07,6,4.01123200224,1.10005873138,6.60035238828
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-08,1,0,-0.405789350677,-0.405789350677
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-09,5,5.99311939676,2.21294448965,11.0647224483
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-10,14,1.51958031866,0.260842930895,3.65180103253
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-11,4,0,-0.664811507094,-2.65924602838
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025-12,11,0.164348778187,-0.349869657308,-3.84856623039
T3,QUARTERLY_DATA__LEGACY_PARAMS,2026-01,5,0,-0.196453486909,-0.982267434544
T3,QUARTERLY_DATA__LEGACY_PARAMS,2026-02,3,0,-0.811041238783,-2.43312371635
T3,QUARTERLY_DATA__LEGACY_PARAMS,2026-03,10,4.24083246449,0.983686117975,9.83686117975
T3,QUARTERLY_DATA__LEGACY_PARAMS,2026-04,2,3.39877989446,0.352855691459,0.705711382919
T3,QUARTERLY_DATA__LEGACY_PARAMS,2026-05,4,5.85117967909,0.719840663737,2.87936265495
T3,QUARTERLY_DATA__LEGACY_PARAMS,2026-06,8,3.2386674391,0.580399694539,4.64319755631
T3,QUARTERLY_DATA__LEGACY_PARAMS,2026-07,2,0,-0.368456624186,-0.736913248371
T3,QUARTERLY_DATA__LEGACY_PARAMS,2026-08,14,4.50229153612,0.897073342331,12.5590267926
T3,QUARTERLY_DATA__V2_PARAMS,2025-01,0,,,0
T3,QUARTERLY_DATA__V2_PARAMS,2025-02,1,,2.3957986976,2.3957986976
T3,QUARTERLY_DATA__V2_PARAMS,2025-03,3,5.74284309954,1.58095268076,4.74285804228
T3,QUARTERLY_DATA__V2_PARAMS,2025-04,3,0,-0.971048254086,-2.91314476226
T3,QUARTERLY_DATA__V2_PARAMS,2025-05,1,0,-1.00000693773,-1.00000693773
T3,QUARTERLY_DATA__V2_PARAMS,2025-06,2,0,-0.561041809569,-1.12208361914
T3,QUARTERLY_DATA__V2_PARAMS,2025-07,4,6.71549269916,0.934836528475,3.7393461139
T3,QUARTERLY_DATA__V2_PARAMS,2025-08,1,0,-0.405789350677,-0.405789350677
T3,QUARTERLY_DATA__V2_PARAMS,2025-09,5,5.99311939676,2.21294448965,11.0647224483
T3,QUARTERLY_DATA__V2_PARAMS,2025-10,15,1.60106658563,0.281634426759,4.22451640138
T3,QUARTERLY_DATA__V2_PARAMS,2025-11,4,0,-0.664811507094,-2.65924602838
T3,QUARTERLY_DATA__V2_PARAMS,2025-12,9,0.295331346035,-0.200665767666,-1.805991909
T3,QUARTERLY_DATA__V2_PARAMS,2026-01,4,0,-0.465462969058,-1.86185187623
T3,QUARTERLY_DATA__V2_PARAMS,2026-02,2,0,-0.449684142037,-0.899368284074
T3,QUARTERLY_DATA__V2_PARAMS,2026-03,12,2.71901563222,0.696493391764,8.35792070117
T3,QUARTERLY_DATA__V2_PARAMS,2026-04,2,3.39877989446,0.352855691459,0.705711382919
T3,QUARTERLY_DATA__V2_PARAMS,2026-05,4,5.85117967909,0.719840663737,2.87936265495
T3,QUARTERLY_DATA__V2_PARAMS,2026-06,8,3.17600849285,0.677238882634,5.41791106107
T3,QUARTERLY_DATA__V2_PARAMS,2026-07,4,0,-0.694516655617,-2.77806662247
T3,QUARTERLY_DATA__V2_PARAMS,2026-08,13,3.86414369091,0.791508089851,10.2896051681
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-01,0,,,0
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-02,13,2.40686430735,0.610386757852,7.93502785208
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-03,14,1.56036090099,0.221937702798,3.10712783917
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-04,18,0.960106358236,-0.0241278159276,-0.434300686697
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-05,4,0.125630575938,-0.658700673544,-2.63480269418
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-06,7,7.63021669424,1.36721647008,9.57051529053
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-07,16,1.69361522144,0.37252246952,5.96035951232
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-08,11,0.219517957437,-0.571950156979,-6.29145172677
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-09,24,2.61315589852,0.678809994351,16.2914398644
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-10,41,1.13634455607,0.0702208155547,2.87905343774
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-11,9,0,-0.775413036467,-6.97871732821
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025-12,23,0.575007607094,-0.211320770577,-4.86037772328
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2026-01,22,1.65998619978,0.261707534856,5.75756576683
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2026-02,9,0.392354292831,-0.422820950256,-3.8053885523
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2026-03,19,5.43112785199,1.27115816189,24.1520050759
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2026-04,11,0.876454678873,-0.0474548790046,-0.522003669051
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2026-05,14,0.444963669419,-0.309429178673,-4.33200850142
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2026-06,21,3.0657799733,0.656972223376,13.7964166909
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2026-07,19,1.20146987679,0.107009589953,2.0331822091
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2026-08,23,3.48182882094,0.693372873105,15.9475760814
T3,QUARTERLY_ALL6__V2_PARAMS,2025-01,0,,,0
T3,QUARTERLY_ALL6__V2_PARAMS,2025-02,5,4.61350979477,1.5423363658,7.711681829
T3,QUARTERLY_ALL6__V2_PARAMS,2025-03,12,1.35651667836,0.155859780357,1.87031736429
T3,QUARTERLY_ALL6__V2_PARAMS,2025-04,17,1.00222916365,0.00136751523438,0.0232477589844
T3,QUARTERLY_ALL6__V2_PARAMS,2025-05,5,0.0899908909807,-0.76564186207,-3.82820931035
T3,QUARTERLY_ALL6__V2_PARAMS,2025-06,8,8.42155918077,1.33909924997,10.7127939997
T3,QUARTERLY_ALL6__V2_PARAMS,2025-07,14,1.43927799125,0.221381344576,3.09933882407
T3,QUARTERLY_ALL6__V2_PARAMS,2025-08,11,0.0967698345439,-0.706650033011,-7.77315036312
T3,QUARTERLY_ALL6__V2_PARAMS,2025-09,26,2.16052080209,0.544819801573,14.1653148409
T3,QUARTERLY_ALL6__V2_PARAMS,2025-10,40,1.63853149371,0.307134001056,12.2853600423
T3,QUARTERLY_ALL6__V2_PARAMS,2025-11,8,0,-0.72854362694,-5.82834901552
T3,QUARTERLY_ALL6__V2_PARAMS,2025-12,19,0.533863234803,-0.283006392507,-5.37712145764
T3,QUARTERLY_ALL6__V2_PARAMS,2026-01,23,1.57342228942,0.247601442961,5.6948331881
T3,QUARTERLY_ALL6__V2_PARAMS,2026-02,8,1.19787202866,0.0753148366016,0.602518692813
T3,QUARTERLY_ALL6__V2_PARAMS,2026-03,23,3.0701217479,0.800206140274,18.4047412263
T3,QUARTERLY_ALL6__V2_PARAMS,2026-04,15,0.427930839813,-0.267630099475,-4.01445149212
T3,QUARTERLY_ALL6__V2_PARAMS,2026-05,13,0.484411752086,-0.29955942537,-3.89427252981
T3,QUARTERLY_ALL6__V2_PARAMS,2026-06,24,2.4666314949,0.507684514292,12.184428343
T3,QUARTERLY_ALL6__V2_PARAMS,2026-07,20,1.03795197513,0.0191435949933,0.382871899866
T3,QUARTERLY_ALL6__V2_PARAMS,2026-08,22,2.70891590919,0.548117691637,12.058589216
