portfolio_id,exit_time,strategy,trade_id,trade_R,cumulative_R
C,2025-07-23T14:00:00+00:00,T3,CNY-000008,-0.52396277023,0.393498274422
C,2025-07-24T11:00:00+00:00,T2,CNY-000009,1.61625147878,2.0097497532
C,2025-07-24T11:00:00+00:00,T3,CNY-000009,0.383184053443,2.39293380665
C,2025-07-29T12:00:00+00:00,T2,CNY-000010,2.41423797737,4.80717178402
C,2025-07-29T12:00:00+00:00,T2,Si-000012,3.36140983265,8.16858161666
C,2025-07-29T12:00:00+00:00,T3,CNY-000010,2.37296877454,10.5415503912
C,2025-07-29T12:00:00+00:00,T3,Si-000010,2.62777386308,13.1693242543
C,2025-08-20T08:00:00+00:00,T2,CNY-000011,-0.236453799574,12.9328704547
C,2025-08-20T08:00:00+00:00,T2,Si-000013,-0.398580794295,12.5342896604
C,2025-08-25T12:00:00+00:00,T2,Si-000014,-0.506111854535,12.0281778059
C,2025-08-28T13:00:00+00:00,T2,CNY-000012,-0.393581014163,11.6345967917
C,2025-09-01T07:00:00+00:00,T3,CNY-000011,-0.262935506562,11.3716612852
C,2025-09-11T09:00:00+00:00,T3,CNY-000012,2.98685411573,14.3585154009
C,2025-09-11T09:00:00+00:00,T3,Si-000011,2.96875037199,17.3272657729
C,2025-09-18T09:00:00+00:00,T3,CNY-000013,-0.217005509337,17.1102602635
C,2025-09-18T09:00:00+00:00,T3,Si-000012,-0.212809779862,16.8974504837
C,2025-09-30T17:00:00+00:00,T3,Si-000013,-0.50239475874,16.3950557249
C,2025-10-02T10:00:00+00:00,T3,CNY-000014,0.425407786944,16.8204635119
C,2025-10-02T14:00:00+00:00,T2,CNY-000013,-0.524438908285,16.2960246036
C,2025-10-02T14:00:00+00:00,T2,Si-000015,-0.50457647386,15.7914481297
C,2025-10-02T14:00:00+00:00,T3,Si-000014,0.141963244235,15.933411374
C,2025-10-03T08:00:00+00:00,T2,CNY-000014,-0.514092202525,15.4193191714
C,2025-10-03T08:00:00+00:00,T2,Si-000016,-0.502329386785,14.9169897847
C,2025-10-07T21:00:00+00:00,T3,Si-000015,-0.367511790487,14.5494779942
C,2025-10-08T07:00:00+00:00,T3,CNY-000015,-0.0660447037595,14.4834332904
C,2025-10-09T08:00:00+00:00,T3,CNY-000016,-0.512307855025,13.9711254354
C,2025-10-09T08:00:00+00:00,T3,Si-000016,-0.50181287469,13.4693125607
C,2025-10-16T08:00:00+00:00,T3,CNY-000017,1.88253205242,15.3518446131
C,2025-10-16T08:00:00+00:00,T3,Si-000017,2.19643615088,17.548280764
C,2025-10-22T12:00:00+00:00,T3,CNY-000018,-0.51113770788,17.0371430561
C,2025-10-22T12:00:00+00:00,T3,Si-000018,-0.50162635573,16.5355167004
C,2025-10-27T16:00:00+00:00,T3,CNY-000019,-0.260419088287,16.2750976121
C,2025-10-29T11:00:00+00:00,T2,CNY-000015,-0.305724137003,15.9693734751
C,2025-10-29T11:00:00+00:00,T2,Si-000017,-0.313835361285,15.6555381138
C,2025-11-17T08:00:00+00:00,T2,CNY-000016,-0.53420088362,15.1213372302
C,2025-11-25T08:00:00+00:00,T3,CNY-000020,-0.513426797155,14.607910433
C,2025-11-25T11:00:00+00:00,T2,Si-000018,2.69322579669,17.3011362297
C,2025-11-25T11:00:00+00:00,T3,Si-000019,-0.50180418244,16.7993320473
C,2025-11-28T07:00:00+00:00,T2,CNY-000017,0.205414115955,17.0047461633
C,2025-11-28T07:00:00+00:00,T3,CNY-000021,-0.213921904397,16.7908242589
C,2025-11-28T08:00:00+00:00,T2,Si-000019,0.10163019425,16.8924544531
C,2025-11-28T08:00:00+00:00,T3,Si-000020,-0.114978185778,16.7774762673
C,2025-12-01T07:00:00+00:00,T3,Si-000021,-0.502483218985,16.2749930483
C,2025-12-04T10:00:00+00:00,T3,CNY-000022,-0.0065145356298,16.2684785127
C,2025-12-04T11:00:00+00:00,T3,Si-000022,-0.00521492088725,16.2632635918
C,2025-12-05T08:00:00+00:00,T3,CNY-000023,0.092330715251,16.3555943071
C,2025-12-05T08:00:00+00:00,T3,Si-000023,-0.214283921678,16.1413103854
