generation,futures_type,lifecycle_stage,strategy,timeframe,removed_instrument,original_instrument_count,remaining_instruments,months_observed,total_net_R,mean_monthly_R,median_monthly_R,positive_month_share,monthly_R_std,worst_month_R,monthly_equity_max_drawdown_R,longest_negative_month_streak,delta_total_R_vs_full,delta_positive_month_share,delta_monthly_std,delta_worst_month_R,delta_monthly_equity_DD
v3,perpetual,baseline,T2,M30,USDRUBF,4,CNYRUBF|GLDRUBF|IMOEXF,24,60.0356147822,2.50148394926,1.75551334824,0.625,4.34078343942,-4.04394319998,-8.1458809334,3,-36.876023063,-0.0416666666667,-2.35251227616,0.433733878141,0.945911463912
v3,perpetual,baseline,T2,M30,CNYRUBF,4,USDRUBF|GLDRUBF|IMOEXF,24,77.2126003566,3.21719168152,1.69524307791,0.625,6.46116539737,-4.94149741775,-6.90699815785,2,-19.6990374886,-0.0416666666667,-0.232130318218,-0.46382033963,2.18479423946
v3,perpetual,baseline,T2,M30,GLDRUBF,4,USDRUBF|CNYRUBF|IMOEXF,24,82.8631628036,3.45263178348,3.10230619726,0.666666666667,5.33216560756,-4.47767707812,-7.0724904096,3,-14.0484750416,0,-1.36113010802,0,2.01930198772
v3,perpetual,baseline,T2,M30,IMOEXF,4,USDRUBF|CNYRUBF|GLDRUBF,24,70.6235355932,2.94264731638,2.90958238918,0.666666666667,5.997669973,-6.31003276377,-9.32947551441,3,-26.288102252,0,-0.695625742585,-1.83235568565,-0.237683117094
v3,perpetual,baseline,T2,H1,USDRUBF,4,CNYRUBF|GLDRUBF|IMOEXF,24,41.7524237592,1.7396843233,0.202095652929,0.541666666667,3.98737696696,-2.84388756957,-4.33009335942,3,-38.7344649929,-0.0416666666667,-3.04015525322,1.58672165566,1.51556069497
v3,perpetual,baseline,T2,H1,CNYRUBF,4,USDRUBF|GLDRUBF|IMOEXF,24,65.7748667954,2.74061944981,0.480007238279,0.583333333333,6.12807116203,-3.79919521474,-3.79919521474,2,-14.7120219567,0,-0.899461058145,0.631414010497,2.04645883965
v3,perpetual,baseline,T2,H1,GLDRUBF,4,USDRUBF|CNYRUBF|IMOEXF,24,65.9514314722,2.74797631134,0.705505420811,0.541666666667,6.58869136611,-4.19066694598,-6.23712578564,3,-14.5354572799,-0.0416666666667,-0.438840854064,0.239942279249,-0.391471731248
v3,perpetual,baseline,T2,H1,IMOEXF,4,USDRUBF|CNYRUBF|GLDRUBF,24,67.9819442296,2.83258100957,0.408896169192,0.5,6.50229885353,-4.80461066856,-6.488051721,3,-12.5049445225,-0.0833333333333,-0.525233366643,-0.374001443328,-0.642397666608
v3,perpetual,baseline,T3,M30,USDRUBF,4,CNYRUBF|GLDRUBF|IMOEXF,24,66.1283992728,2.7553499697,0.982432103204,0.583333333333,6.15811588065,-6.57066955715,-7.15355695564,3,-64.3068456211,-0.25,-1.64086049438,2.41659146902,1.83370407054
v3,perpetual,baseline,T3,M30,CNYRUBF,4,USDRUBF|GLDRUBF|IMOEXF,24,104.842315356,4.36842980649,3.26631897944,0.833333333333,5.54137364922,-4.61270691058,-4.61270691058,1,-25.5929295381,0,-2.2576027258,4.37455411559,4.37455411559
v3,perpetual,baseline,T3,M30,GLDRUBF,4,USDRUBF|CNYRUBF|IMOEXF,24,116.655113868,4.86062974451,3.71756644576,0.791666666667,6.49507082229,-3.72833283947,-5.47499195387,2,-13.7801310255,-0.0416666666667,-1.30390555274,5.2589281867,3.51226907231
v3,perpetual,baseline,T3,M30,IMOEXF,4,USDRUBF|CNYRUBF|GLDRUBF,24,103.679906185,4.31999609103,3.7056956674,0.833333333333,7.09642848212,-12.9842911143,-12.9842911143,1,-26.7553387091,0,-0.702547892905,-3.99703008814,-3.99703008814
v3,perpetual,baseline,T3,H1,USDRUBF,4,CNYRUBF|GLDRUBF|IMOEXF,23,54.3951944185,2.36500845298,1.15770137569,0.565217391304,4.75360162426,-2.83525573256,-9.25311915617,6,-27.7780237436,-0.0869565217391,-1.76043301738,0.119363535901,-3.13765469058
v3,perpetual,baseline,T3,H1,CNYRUBF,4,USDRUBF|GLDRUBF|IMOEXF,23,55.4787664512,2.41212028049,2.69854761857,0.695652173913,3.88012765927,-3.16955110986,-5.96449736746,2,-26.6944517108,0.0434782608696,-2.63390698237,-0.214931841396,0.150967098133
v3,perpetual,baseline,T3,H1,GLDRUBF,4,USDRUBF|CNYRUBF|IMOEXF,23,68.2366312359,2.96681005373,0.924480278078,0.608695652174,6.06482715572,-2.95461926846,-4.73265764417,2,-13.9365869262,-0.0434782608696,-0.449207485923,0,1.38280682142
v3,perpetual,baseline,T3,H1,IMOEXF,4,USDRUBF|CNYRUBF|GLDRUBF,23,68.4090623805,2.97430706002,0.921279470191,0.565217391304,6.1592044886,-3.12199514701,-5.27740626836,2,-13.7641557815,-0.0869565217391,-0.354830153041,-0.167375878543,0.838058197234
v3,perpetual,walk_forward,T2,M30,USDRUBF,4,CNYRUBF|GLDRUBF|IMOEXF,12,38.4840341321,3.20700284434,1.22376892265,0.666666666667,4.85289608083,-2.37165251138,-2.48733225312,2,-22.9135864875,0,-2.30511192939,-0.482751894624,-0.20901045119
v3,perpetual,walk_forward,T2,M30,CNYRUBF,4,USDRUBF|GLDRUBF|IMOEXF,12,64.7613302237,5.39677751864,3.25261486215,0.666666666667,7.61307948493,-1.91661597518,-1.91661597518,2,3.36370960406,0,0.455071474716,-0.0277153584279,0.36170582675
v3,perpetual,walk_forward,T2,M30,GLDRUBF,4,USDRUBF|CNYRUBF|IMOEXF,12,46.379075823,3.86492298525,2.61949509214,0.833333333333,4.95531093309,-2.17788083212,-2.17788083212,1,-15.0185447965,0.166666666667,-2.20269707713,-0.288980215367,0.100440969811
v3,perpetual,walk_forward,T2,M30,IMOEXF,4,USDRUBF|CNYRUBF|GLDRUBF,12,34.56842168,2.88070180666,2.26029416639,0.75,5.99639462907,-4.92432386049,-5.52969316425,1,-26.8291989396,0.0833333333333,-1.16161338115,-3.03542324374,-3.25137136232
v3,perpetual,walk_forward,T2,H1,USDRUBF,4,CNYRUBF|GLDRUBF|IMOEXF,12,23.4390381437,1.95325317864,1.69073180457,0.75,3.43531353808,-2.84388756957,-2.84388756957,1,-24.8675297733,0,-4.46803805668,1.58672165566,1.58672165566
v3,perpetual,walk_forward,T2,H1,CNYRUBF,4,USDRUBF|GLDRUBF|IMOEXF,12,37.8353387996,3.15294489997,1.00697345075,0.666666666667,7.45823972466,-3.37541847327,-3.37541847327,3,-10.4712291173,-0.0833333333333,-0.445111870101,1.05519075196,1.05519075196
v3,perpetual,walk_forward,T2,H1,GLDRUBF,4,USDRUBF|CNYRUBF|IMOEXF,12,48.6232852788,4.0519404399,1.84224638622,0.583333333333,8.04621991974,-2.26791096429,-2.26791096429,3,0.316717361884,-0.166666666667,0.142868324973,2.16269826094,2.16269826094
v3,perpetual,walk_forward,T2,H1,IMOEXF,4,USDRUBF|CNYRUBF|GLDRUBF,12,35.0220415288,2.91850346073,1.64667337508,0.666666666667,7.00214300683,-4.80461066856,-5.6139110066,2,-13.2845263882,-0.0833333333333,-0.901208587932,-0.374001443328,-1.18330178137
v3,perpetual,walk_forward,T3,M30,USDRUBF,4,CNYRUBF|GLDRUBF|IMOEXF,12,32.9636365785,2.74696971487,1.84362179352,0.583333333333,7.52880822527,-6.51154739231,-9.95796989183,3,-13.7022379297,-0.25,-2.93206557484,3.4752220837,5.62927075244
v3,perpetual,walk_forward,T3,M30,CNYRUBF,4,USDRUBF|GLDRUBF|IMOEXF,12,38.3808962403,3.19840802002,2.76941152343,0.583333333333,7.04488683534,-4.73712018226,-9.25587779805,2,-8.28497826791,-0.25,-3.41598696477,5.24964929374,6.33136284622
