generation,futures_type,lifecycle_stage,strategy,timeframe,YYYY-MM,instrument,coverage_start_date,instrument_available,partial_coverage_month,coverage_status,trades,net_R,positive_month,negative_month,zero_month
v2,quarterly,baseline,T2,M30,2021-05,GD,2020-01-01,true,false,AVAILABLE,3,-2.42987150346,false,true,false
v2,quarterly,baseline,T2,M30,2021-05,BR,2020-01-01,true,false,AVAILABLE,5,1.6449578432,true,false,false
v2,quarterly,baseline,T2,M30,2021-05,MIX,2020-01-01,true,false,AVAILABLE,8,1.85993726288,true,false,false
v2,quarterly,baseline,T2,M30,2021-05,NG,2020-02-03,true,false,AVAILABLE,3,-1.56242869039,false,true,false
v2,quarterly,baseline,T2,M30,2021-06,Si,2020-01-01,true,false,AVAILABLE,4,-1.76053459176,false,true,false
v2,quarterly,baseline,T2,M30,2021-06,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-06,GD,2020-01-01,true,false,AVAILABLE,6,-3.95211123962,false,true,false
v2,quarterly,baseline,T2,M30,2021-06,BR,2020-01-01,true,false,AVAILABLE,7,0.807723055153,true,false,false
v2,quarterly,baseline,T2,M30,2021-06,MIX,2020-01-01,true,false,AVAILABLE,4,13.1670072202,true,false,false
v2,quarterly,baseline,T2,M30,2021-06,NG,2020-02-03,true,false,AVAILABLE,4,3.39747405059,true,false,false
v2,quarterly,baseline,T2,M30,2021-07,Si,2020-01-01,true,false,AVAILABLE,4,4.56891644571,true,false,false
v2,quarterly,baseline,T2,M30,2021-07,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-07,GD,2020-01-01,true,false,AVAILABLE,3,-1.64746484256,false,true,false
v2,quarterly,baseline,T2,M30,2021-07,BR,2020-01-01,true,false,AVAILABLE,5,1.1591376261,true,false,false
v2,quarterly,baseline,T2,M30,2021-07,MIX,2020-01-01,true,false,AVAILABLE,7,7.34365476856,true,false,false
v2,quarterly,baseline,T2,M30,2021-07,NG,2020-02-03,true,false,AVAILABLE,5,-1.56667032034,false,true,false
v2,quarterly,baseline,T2,M30,2021-08,Si,2020-01-01,true,false,AVAILABLE,6,-2.24203219517,false,true,false
v2,quarterly,baseline,T2,M30,2021-08,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-08,GD,2020-01-01,true,false,AVAILABLE,1,1.59272916778,true,false,false
v2,quarterly,baseline,T2,M30,2021-08,BR,2020-01-01,true,false,AVAILABLE,12,-3.00373059924,false,true,false
v2,quarterly,baseline,T2,M30,2021-08,MIX,2020-01-01,true,false,AVAILABLE,12,-4.78340106372,false,true,false
v2,quarterly,baseline,T2,M30,2021-08,NG,2020-02-03,true,false,AVAILABLE,4,2.43265334748,true,false,false
v2,quarterly,baseline,T2,M30,2021-09,Si,2020-01-01,true,false,AVAILABLE,7,-0.585217505715,false,true,false
v2,quarterly,baseline,T2,M30,2021-09,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-09,GD,2020-01-01,true,false,AVAILABLE,2,0.70621026054,true,false,false
v2,quarterly,baseline,T2,M30,2021-09,BR,2020-01-01,true,false,AVAILABLE,5,-0.758944749108,false,true,false
v2,quarterly,baseline,T2,M30,2021-09,MIX,2020-01-01,true,false,AVAILABLE,6,-0.575034588894,false,true,false
v2,quarterly,baseline,T2,M30,2021-09,NG,2020-02-03,true,false,AVAILABLE,5,1.15252939157,true,false,false
v2,quarterly,baseline,T2,M30,2021-10,Si,2020-01-01,true,false,AVAILABLE,5,4.39671022335,true,false,false
v2,quarterly,baseline,T2,M30,2021-10,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-10,GD,2020-01-01,true,false,AVAILABLE,2,-1.32173387497,false,true,false
v2,quarterly,baseline,T2,M30,2021-10,BR,2020-01-01,true,false,AVAILABLE,9,-2.37851216551,false,true,false
v2,quarterly,baseline,T2,M30,2021-10,MIX,2020-01-01,true,false,AVAILABLE,7,-0.0128513707946,false,true,false
v2,quarterly,baseline,T2,M30,2021-10,NG,2020-02-03,true,false,AVAILABLE,6,-1.65862936083,false,true,false
v2,quarterly,baseline,T2,M30,2021-11,Si,2020-01-01,true,false,AVAILABLE,7,-3.47738731144,false,true,false
v2,quarterly,baseline,T2,M30,2021-11,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-11,GD,2020-01-01,true,false,AVAILABLE,7,-1.59233015484,false,true,false
v2,quarterly,baseline,T2,M30,2021-11,BR,2020-01-01,true,false,AVAILABLE,5,-5.02424071262,false,true,false
v2,quarterly,baseline,T2,M30,2021-11,MIX,2020-01-01,true,false,AVAILABLE,6,0.625701471024,true,false,false
v2,quarterly,baseline,T2,M30,2021-11,NG,2020-02-03,true,false,AVAILABLE,5,-2.48832681725,false,true,false
v2,quarterly,baseline,T2,M30,2021-12,Si,2020-01-01,true,false,AVAILABLE,6,-1.76401271742,false,true,false
v2,quarterly,baseline,T2,M30,2021-12,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-12,GD,2020-01-01,true,false,AVAILABLE,4,0.000598019633,true,false,false
v2,quarterly,baseline,T2,M30,2021-12,BR,2020-01-01,true,false,AVAILABLE,9,2.2978439088,true,false,false
v2,quarterly,baseline,T2,M30,2021-12,MIX,2020-01-01,true,false,AVAILABLE,5,3.67355539681,true,false,false
v2,quarterly,baseline,T2,M30,2021-12,NG,2020-02-03,true,false,AVAILABLE,6,-0.530276082064,false,true,false
v2,quarterly,baseline,T2,M30,2022-01,Si,2020-01-01,true,false,AVAILABLE,7,-3.34171686806,false,true,false
v2,quarterly,baseline,T2,M30,2022-01,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2022-01,GD,2020-01-01,true,false,AVAILABLE,5,-2.66935691636,false,true,false
v2,quarterly,baseline,T2,M30,2022-01,BR,2020-01-01,true,false,AVAILABLE,6,3.63041149076,true,false,false
v2,quarterly,baseline,T2,M30,2022-01,MIX,2020-01-01,true,false,AVAILABLE,4,-3.23663915463,false,true,false
v2,quarterly,baseline,T2,M30,2022-01,NG,2020-02-03,true,false,AVAILABLE,1,-0.495791958066,false,true,false
v2,quarterly,baseline,T2,M30,2022-02,Si,2020-01-01,true,false,AVAILABLE,8,-0.285877475269,false,true,false
v2,quarterly,baseline,T2,M30,2022-02,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2022-02,GD,2020-01-01,true,false,AVAILABLE,2,-0.399714018554,false,true,false
v2,quarterly,baseline,T2,M30,2022-02,BR,2020-01-01,true,false,AVAILABLE,3,-1.13788157941,false,true,false
v2,quarterly,baseline,T2,M30,2022-02,MIX,2020-01-01,true,false,AVAILABLE,7,7.257471546,true,false,false
v2,quarterly,baseline,T2,M30,2022-02,NG,2020-02-03,true,false,AVAILABLE,7,-1.27974781174,false,true,false
v2,quarterly,baseline,T2,M30,2022-03,Si,2020-01-01,true,false,AVAILABLE,1,-0.183576629756,false,true,false
v2,quarterly,baseline,T2,M30,2022-03,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2022-03,GD,2020-01-01,true,false,AVAILABLE,2,-1.13438013393,false,true,false
v2,quarterly,baseline,T2,M30,2022-03,BR,2020-01-01,true,false,AVAILABLE,1,-1.00147823979,false,true,false
v2,quarterly,baseline,T2,M30,2022-03,MIX,2020-01-01,true,false,NO_TRADES,0,0,false,false,true
v2,quarterly,baseline,T2,M30,2022-03,NG,2020-02-03,true,false,AVAILABLE,2,2.29199718125,true,false,false
v2,quarterly,baseline,T2,M30,2022-04,Si,2020-01-01,true,false,NO_TRADES,0,0,false,false,true
v2,quarterly,baseline,T2,M30,2022-04,CNY,2022-04-21,true,true,NO_TRADES,0,0,false,false,true
v2,quarterly,baseline,T2,M30,2022-04,GD,2020-01-01,true,false,AVAILABLE,3,4.80613384032,true,false,false
v2,quarterly,baseline,T2,M30,2022-04,BR,2020-01-01,true,false,AVAILABLE,1,0.0812456614824,true,false,false
v2,quarterly,baseline,T2,M30,2022-04,MIX,2020-01-01,true,false,AVAILABLE,2,-1.93236049167,false,true,false
v2,quarterly,baseline,T2,M30,2022-04,NG,2020-02-03,true,false,AVAILABLE,3,5.4416574604,true,false,false
v2,quarterly,baseline,T2,M30,2022-05,Si,2020-01-01,true,false,AVAILABLE,3,0.427602579218,true,false,false
v2,quarterly,baseline,T2,M30,2022-05,CNY,2022-04-21,true,false,AVAILABLE,2,-0.300960853,false,true,false
v2,quarterly,baseline,T2,M30,2022-05,GD,2020-01-01,true,false,AVAILABLE,1,-1.00018671077,false,true,false
v2,quarterly,baseline,T2,M30,2022-05,BR,2020-01-01,true,false,AVAILABLE,3,-0.1486301879,false,true,false
v2,quarterly,baseline,T2,M30,2022-05,MIX,2020-01-01,true,false,AVAILABLE,1,-0.610049463947,false,true,false
v2,quarterly,baseline,T2,M30,2022-05,NG,2020-02-03,true,false,AVAILABLE,1,-0.756408858393,false,true,false
v2,quarterly,baseline,T2,M30,2022-06,Si,2020-01-01,true,false,AVAILABLE,3,-0.317029020426,false,true,false
v2,quarterly,baseline,T2,M30,2022-06,CNY,2022-04-21,true,false,AVAILABLE,2,1.55135162476,true,false,false
v2,quarterly,baseline,T2,M30,2022-06,GD,2020-01-01,true,false,AVAILABLE,2,1.73469928489,true,false,false
v2,quarterly,baseline,T2,M30,2022-06,BR,2020-01-01,true,false,AVAILABLE,3,0.272162464858,true,false,false
v2,quarterly,baseline,T2,M30,2022-06,MIX,2020-01-01,true,false,AVAILABLE,3,1.40658589625,true,false,false
v2,quarterly,baseline,T2,M30,2022-06,NG,2020-02-03,true,false,AVAILABLE,2,2.5715434797,true,false,false
v2,quarterly,baseline,T2,M30,2022-07,Si,2020-01-01,true,false,AVAILABLE,3,-0.319407858195,false,true,false
v2,quarterly,baseline,T2,M30,2022-07,CNY,2022-04-21,true,false,AVAILABLE,2,1.46009638242,true,false,false
v2,quarterly,baseline,T2,M30,2022-07,GD,2020-01-01,true,false,AVAILABLE,2,0.27912419232,true,false,false
v2,quarterly,baseline,T2,M30,2022-07,BR,2020-01-01,true,false,AVAILABLE,2,-0.019899318323,false,true,false
v2,quarterly,baseline,T2,M30,2022-07,MIX,2020-01-01,true,false,AVAILABLE,5,-2.64318096853,false,true,false
v2,quarterly,baseline,T2,M30,2022-07,NG,2020-02-03,true,false,AVAILABLE,4,6.67443891556,true,false,false
