generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_scope,source_family,source_path,source_sha256,source_schema_id,canonical_c1_field,trade_count,first_entry_time,last_exit_time,column_count,has_trade_id,has_direction,has_entry_time,has_exit_time,has_MAE,has_MFE,has_exit_reason,has_entry_price,has_exit_price,has_stop_field,has_holding_field,has_cost_field,has_gross_R_field
v2,quarterly,walk_forward,T2,H1,Si|CNY|GD|BR|MIX|NG,walk_forward_v2,TradingSystemLab/results/walk_forward_v2/T2/H1/trades.csv,e19fc1e694fee45307dc47a34f681506eca8e53f7866fa3be2474f332a4ae1e8,V2_T2_WF,net_R_C1,117,2024-01-22T17:00:00+03:00,2024-12-28T17:00:00+03:00,25,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,true_oos,T2,H1,Si|CNY|GD|BR|MIX|NG,true_oos_v2,TradingSystemLab/results/true_oos_v2/T2/H1/trades.csv,6ae4da3b991305aad14f3c68a6d37f297a623a95c863a54d0be129f06c6ebbb6,V2_TRUE_OOS,R_result,297,2025-01-23T23:00:00+03:00,2026-09-15T19:00:00+03:00,16,true,true,true,true,true,true,true,true,true,false,true,true,true
v2,quarterly,baseline,T3,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/BR/M30/trades.csv,b16748613af9224aaddb692a1904b9eed6cfdd7e4a2e4169e27f9ac81db961ed,V2_T3_BASELINE,net_R,285,2020-01-30T21:30:00+03:00,2024-12-28T16:30:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/CNY/M30/trades.csv,ec61548f87955c2aeafa7ebda85fa020eb4d0f80064b1abfe9da2a1864b2f215,V2_T3_BASELINE,net_R,148,2022-07-06T10:30:00+03:00,2024-12-28T11:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/GD/M30/trades.csv,7bd486c62278825f3d61701b20f3534e8c6dbd4212d0dc47528c3f4e573c00fb,V2_T3_BASELINE,net_R,272,2020-02-04T18:00:00+03:00,2024-12-30T23:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/MIX/M30/trades.csv,36886a399dc21faa5d77d8ab925aeb0917f50de5c6ea398438b5fda2e2ebae2f,V2_T3_BASELINE,net_R,285,2020-01-28T12:30:00+03:00,2024-12-23T20:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/NG/M30/trades.csv,db90785c49bd60f1e6e5ff377cb3fefe59e23fd3240111022830102e2447ebe3,V2_T3_BASELINE,net_R,297,2020-03-10T21:30:00+03:00,2024-12-30T19:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T3,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T3/Si/M30/trades.csv,cf55c695e0306760bada4c3cc9ff20dcc41237ef174247feb843a6a962d7a539,V2_T3_BASELINE,net_R,276,2020-01-29T14:30:00+03:00,2024-12-10T13:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,walk_forward,T3,M30,Si|CNY|GD|BR|MIX|NG,walk_forward_v2,TradingSystemLab/results/walk_forward_v2/T3/M30/trades.csv,191b6c28e813dc100e7415838813b40488c0dce0fac14e63523bc3d6f121d091,V2_T3_WF,net_R_C1,324,2024-01-22T12:00:00+03:00,2024-12-30T23:00:00+03:00,31,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,true_oos,T3,M30,Si|CNY|GD|BR|MIX|NG,true_oos_v2,TradingSystemLab/results/true_oos_v2/T3/M30/trades.csv,d09387234ed8b6836387f7f0b36f2f268c68df939761feb57692f30c75716029,V2_TRUE_OOS,R_result,698,2025-01-21T16:00:00+03:00,2026-09-15T19:30:00+03:00,16,true,true,true,true,true,true,true,true,true,false,true,true,true
