generation,lifecycle_stage,strategy,timeframe,holding_bucket,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,true_oos,T3,H1,1–3h,4,0,4,0,-4.09259206041,-1.0231480151025,0,NA,-1.0231480151025,-1.029526123855,0.0126194646701536,-1.00147846897,-1.03206134373,1,1,1,1,0,0,true
v1,true_oos,T3,H1,24–48h,39,22,17,0.564102564102564,30.0872342627059,0.771467545197587,4.79075198280823,1.72837471364495,-0.466882908087229,0.194407909011,1.58081765732085,5.25554772617,-1.00360836488,30.6923076923077,26,0.434513686905521,0.34940352159,2.23954138553292,1.56746447887,false
v1,true_oos,T3,H1,3–6h,7,2,5,0.285714285714286,-2.493980102853,-0.356282871836143,0.509277036682584,1.2941383339185,-1.016451354138,-1.00401358553,1.08136584980053,1.82190856095,-1.04792554046,3.42857142857143,3,0.724641719440514,1,1.0534118761426,0.143776621386,true
v1,true_oos,T3,H1,48–96h,11,7,4,0.636363636363636,22.022188209564,2.00201710996036,9.0260277307824,3.53800496049471,-0.68596162847475,1.55915351036,2.56796111314654,5.97370823147,-1.00496643797,71.2727272727273,71,0.478950900027127,0.419744393893,3.34110952322301,2.78710790553,true
v1,true_oos,T3,H1,6–12h,3,1,2,0.333333333333333,0.724608971517,0.241536323839,1.47103151465133,2.26295396326,-0.7691724958715,-0.520838176573,1.44366821877771,2.26295396326,-1.01750681517,8.66666666666667,9,0.793973953075333,0.885280410196,1.94496851202567,0.919475646635,true
v1,true_oos,T3,H1,>96h,4,4,0,1,16.05209119072,4.01302279768,NA,4.01302279768,NA,3.176783764585,1.88576227903275,7.23850694164,2.46001671991,131.25,119,0.6336709395455,0.7268650355175,5.27724763176,4.36525616978,true
v1,true_oos,T3,M30,12–24h,57,34,23,0.596491228070175,23.7608588460377,0.416857172737504,2.77886850131797,1.09171020068947,-0.580751651191491,0.277876557755,1.11098537501921,3.65302130257,-1.0354752408,18.7456140350877,19.5,0.429127279434923,0.358503558983,1.66160812211358,1.30232780568,false
v1,true_oos,T3,M30,1–3h,23,3,20,0.130434782608696,-16.197142450902,-0.704223584821826,0.20667686612522,1.40656205060933,-1.0208414301365,-1.03330321466,0.889032963650335,2.55649372096,-1.06645397314,1.5,1.5,0.874356373875948,1,0.722926061502744,0.258866671733,true
v1,true_oos,T3,M30,24–48h,22,21,1,0.954545454545455,57.5612936692971,2.6164224395135,483.697146984112,2.74669252202977,-0.119249293328,1.882754130955,2.57130813299362,8.71803451859,-0.119249293328,26.6363636363636,24,0.355267042555068,0.3023451480355,4.21500298946623,3.21752076057,true
v1,true_oos,T3,M30,3–6h,28,5,23,0.178571428571429,-14.1283011580103,-0.504582184214654,0.324201722132916,1.3555582238818,-0.908960533800839,-0.9766079674915,1.02114205789911,3.59063177147,-1.0453936522,4.19642857142857,4,0.765434839050118,0.9707057655805,0.997659541438343,0.5117434779635,true
