generation,lifecycle_stage,strategy,timeframe,entry_hour,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v2,baseline,T3,H1,21,35,13,22,0.371428571428571,4.7767362521148,0.136478178631851,1.29261031856635,1.62317704226652,-0.742025695334091,-0.42075976208,1.35323808730153,4.0829586945,-1.048353983,46.5714285714286,26,0.5929006112124,0.620722286173,1.50775152830382,0.817880927983,false
v2,baseline,T3,H1,22,32,13,19,0.40625,0.762480996863,0.0238275311519688,1.04874749569998,1.26184002574669,-0.82323364936021,-0.5154372904595,1.2303929504954,3.37732819356,-1.2907098997,47.75,36.5,0.649989972641475,0.683912611031,1.40897702816002,0.9785465952355,false
v2,baseline,T3,H1,23,30,9,21,0.3,2.7143927870835,0.09047975956945,1.18548950324481,1.92756289618056,-0.696841584692452,-0.5424431146375,1.44285063404578,4.12321491332,-1.00673404771,40.8333333333333,23,0.599994311244717,0.6477390142855,1.48158431709523,0.8121063466195,false
v2,baseline,T3,H1,8,10,3,7,0.3,-4.504069679647,-0.4504069679647,0.212064888513324,0.404075166658667,-0.816613597089,-0.779212652012,0.620092983573699,0.511277439231,-1.00722373302,25.1,7,0.6782198451087,0.779206449553,0.76491292002945,0.6066491131695,true
v2,baseline,T3,H1,9,14,4,10,0.285714285714286,-4.159991629514,-0.297142259251,0.513861326443562,1.099305060991,-0.8557211873478,-0.8174923759925,0.981282158116934,2.19076136783,-1.07077495705,19.5,9.5,0.752758284532636,0.955661955991,1.12110271915979,0.721431726967,true
v2,baseline,T3,M30,0,21,9,12,0.428571428571429,14.83420253541,0.706390596924287,2.60166017333852,2.67732989265678,-0.771813874875082,-0.242815360748,2.27852585085225,8.21044964058,-1.00637984466,42.3571428571429,34.5,0.634025820611,0.723321775905,1.96859067647043,1.13388084974,true
v2,baseline,T3,M30,10,171,62,109,0.362573099415205,33.4050874394723,0.195351388534926,1.43137511687227,1.78780149683585,-0.710445920773858,-0.326088433247,1.6134621959834,6.9639317101,-1.12948836501,13.3888888888889,6.5,0.599219216151848,0.600304493272,1.56756044970381,1.07257731926,false
v2,baseline,T3,M30,11,123,58,65,0.471544715447154,49.9049630159646,0.405731406633859,2.03299850383626,1.69337487218835,-0.743242762630146,-0.106571970699,1.69028994837184,9.13810611246,-1.08203661035,17.9105691056911,6.5,0.596035223084708,0.660693765362,1.84028115934253,1.31558814831,false
v2,baseline,T3,M30,12,129,57,72,0.441860465116279,19.5945568493674,0.15189578952998,1.3566615629624,1.30760268160399,-0.763038833361949,-0.186945757201,1.34429524054872,5.9371833086,-1.11226849155,18.4341085271318,6,0.601139259267356,0.664992715367,1.52430782589377,1.14998518616,false
v2,baseline,T3,M30,13,98,33,65,0.336734693877551,2.55209627290068,0.0260417987030682,1.04665400590653,1.73499134785526,-0.841578741635739,-0.8113425501285,1.50425072208737,5.33650817629,-1.08276783998,16.3418367346939,4.5,0.683634447034739,0.7880231687905,1.3595640737278,0.6740718743995,false
v2,baseline,T3,M30,14,115,46,69,0.4,30.3635478667756,0.26403085101544,1.62441172953842,1.71719552604553,-0.704745599004619,-0.370052389652,1.92588007314819,13.1606208736,-1.0880659732,20.3,9.5,0.608773980196917,0.61944221469,1.6874372702657,1.07921506621,false
v2,baseline,T3,M30,15,97,37,60,0.381443298969072,20.1237297441146,0.207461131382625,1.41168239488161,1.86501124852417,-0.814694774187995,-0.606334970125,1.8190434246135,10.654853857,-1.14697515876,15.2989690721649,6,0.633187166234153,0.743258320489,1.61370794714467,0.834894224159,false
v2,baseline,T3,M30,16,125,45,80,0.36,30.9414814841122,0.247531851872898,1.53936570808666,1.96239788246431,-0.717080290334772,-0.395806760923,1.76458588533736,7.24391279689,-1.5175650576,21,17,0.653164593773786,0.702770657532,1.68379502667009,0.825409525103,false
v2,baseline,T3,M30,17,131,59,72,0.450381679389313,32.8349776821074,0.25064868459624,1.62396532189351,1.44844167276591,-0.730876125153907,-0.154402185751,1.43840578799882,5.17904527733,-2.76919055248,24.7137404580153,17.5,0.59184999556785,0.591781849153,1.57137596778519,1.0798053922,false
v2,baseline,T3,M30,18,151,63,88,0.417218543046358,6.90466072888057,0.0457262299925866,1.11084181349,1.09837437010218,-0.707874143040418,-0.242814623513,1.14595235825906,6.20627095408,-1.49759746529,25.4966887417219,17.5,0.555313139877442,0.570592296512,1.29749751898381,0.882470688807,false
v2,baseline,T3,M30,19,104,51,53,0.490384615384615,28.7789271557051,0.276720453420241,1.79740925214441,1.27195025388432,-0.680953505516894,-0.04509776603095,1.29204055681438,5.42266738494,-2.53640822606,28.4471153846154,19.25,0.52346430688987,0.49027717332,1.54149348099589,1.200666120485,false
v2,baseline,T3,M30,20,72,29,43,0.402777777777778,-3.280995610975,-0.0455693834857639,0.893970822789604,0.953906053578831,-0.719634213133979,-0.287998797096,1.05667853854273,4.59835223906,-1.89027508611,33.9652777777778,20,0.603720869510938,0.5905289944825,1.22664915788327,0.9601260784765,false
v2,baseline,T3,M30,21,73,22,51,0.301369863013699,-8.017266588048,-0.109825569699288,0.798589416347583,1.44492367263564,-0.780501713451608,-0.576280697769,1.25607160666563,4.78914197278,-1.37949512243,26.5479452054795,16,0.625850605665374,0.62420296723,1.17196316575725,0.658777319232,false
v2,baseline,T3,M30,22,45,19,26,0.422222222222222,1.2667202730332,0.0281493394007378,1.0630464695083,1.12413533149237,-0.772763500973919,-0.226959898493,1.31676383448279,5.20318729526,-3.699242647,32.5111111111111,19,0.64127696053906,0.586372694416,1.36450938704603,0.987221590429,false
v2,baseline,T3,M30,23,28,10,18,0.357142857142857,5.659830722854,0.2021368115305,1.42465156634994,1.8988006505891,-0.740454210168722,-0.410382768097,1.80879775987271,6.79205441491,-1.03928437886,28,17,0.611851945337107,0.6169687339425,1.58023120935207,0.848154323061,true
v2,baseline,T3,M30,7,19,5,14,0.263157894736842,-2.755026173011,-0.145001377526895,0.730340414851309,1.492331123341,-0.729762984979714,-0.698523365156,1.21011907642896,3.225180106,-1.00302768841,8.07894736842105,7.5,0.664605760747474,0.740438086678,1.18010916608603,0.523012757169,true
v2,baseline,T3,M30,8,6,2,4,0.333333333333333,-0.693304454034,-0.115550742339,0.795706358566084,1.350180942062,-0.8484165845395,-0.696827141584,1.08584548829426,1.77060230061,-1.00000981948,10.6666666666667,3.25,0.770739160907833,0.857634492234,1.225799250583,0.876273356868,true
v2,baseline,T3,M30,9,55,20,35,0.363636363636364,-4.844210650534,-0.0880765572824364,0.831669505481555,1.19668818407012,-0.822227838055329,-0.511426386036,1.23998106571357,4.83574775624,-1.6184916896,10.1818181818182,5.5,0.649127986349384,0.667034339626,1.30648514810352,1.05884149873,false
v2,true_oos,T2,H1,0,8,3,5,0.375,2.844125668606,0.35551570857575,1.5425389432479,2.695459105081,-1.0484503293274,-0.7413358196985,2.46421553745887,6.5054505667,-1.62592495809,22.5,16.5,0.450978048746012,0.547546722268,2.04055376790625,0.4967880205545,true
v2,true_oos,T2,H1,10,10,3,7,0.3,3.2626925244287,0.32626925244287,1.53681020142529,3.11353941134933,-0.868275101374186,-0.9467629109795,2.09146370006951,4.5874391348,-1.07767659344,19,4,0.516670703536,0.5672704627725,1.73538966664077,0.25359680897,true
v2,true_oos,T2,H1,11,8,2,6,0.25,0.238353348761,0.029794168595125,1.04760075478471,2.62284862075,-0.8345573154565,-0.7511331087845,1.69357902070045,4.18157581935,-1.00756580875,8.375,5.5,0.48924957997375,0.479865857582,1.70580218114646,0.6859014327825,true
v2,true_oos,T2,H1,12,13,4,9,0.307692307692308,8.9790641401059,0.690697241546608,2.6727029931358,3.58676520896125,-0.596444077304344,-0.461095938057,2.27147422646989,5.88657923476,-1.00158777747,44.3076923076923,30,0.436653123859292,0.470690571828,2.01581388101608,0.645251318069,true
v2,true_oos,T2,H1,13,22,6,16,0.272727272727273,2.176515773414,0.0989325351551818,1.19982890222977,2.17806875612217,-0.680743547707438,-0.447562493451,1.53309587072023,4.30231597277,-1.03078317031,24.5,21.5,0.390981177774062,0.362762472305,1.35842829883622,0.716907995175,true
v2,true_oos,T2,H1,14,25,9,16,0.36,1.9194393573512,0.076777574294048,1.17555628303776,1.42810104188693,-0.68334187622695,-0.425520225943,1.39280829494586,5.10206103057,-1.03849403257,22.84,20,0.423915371734668,0.40367607111,1.62342201779472,1.12827880434,true
