trade_id,family,submodel,instrument,variant_id,signal_time,entry_time,exit_time,side,raw_entry_price,entry_price,stop_price,target_price,exit_price,exit_reason,friction,pnl_native,pnl,pnl_R,pnl_bps,bars_held,entry_z,exit_z,w_cny,w_si,beta_at_entry,entry_price_cny,entry_price_si,exit_price_cny,exit_price_si,pnl_cny,pnl_si,total_pnl
5,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-08 15:30:00+03:00,2026-01-08 15:30:00+03:00,2026-01-08 16:21:00+03:00,SHORT,11.367,11.366000000000001,11.377,11.337,11.338,TARGET,BASE,0.028000000000002245,0.028000000000002245,2.800000000000284,24.63270871822138,51,,,,,,,,,,,,
5,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-08 15:30:00+03:00,2026-01-08 15:30:00+03:00,2026-01-08 16:21:00+03:00,SHORT,11.367,11.365,11.377,11.337,11.339,TARGET,STRESS,0.0259999999999998,0.0259999999999998,2.6000000000000356,22.873229524060704,51,,,,,,,,,,,,
1,STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,STRUCTURAL|BREAKOUT_RETEST|CNYRUBF|target=3,2026-01-05 14:45:00+03:00,2026-01-05 14:45:00+03:00,2026-01-05 14:54:00+03:00,SHORT,11.396,11.396,11.398,11.39,11.39,TARGET,GROSS,0.006000000000000227,0.006000000000000227,3.0000000000017764,5.265005265005464,9,,,,,,,,,,,,
1,STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,STRUCTURAL|BREAKOUT_RETEST|CNYRUBF|target=3,2026-01-05 14:45:00+03:00,2026-01-05 14:45:00+03:00,2026-01-05 14:54:00+03:00,SHORT,11.396,11.395000000000001,11.398,11.39,11.391,TARGET,BASE,0.004000000000001336,0.004000000000001336,2.0000000000017764,3.510003510004682,9,,,,,,,,,,,,
1,STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,STRUCTURAL|BREAKOUT_RETEST|CNYRUBF|target=3,2026-01-05 14:45:00+03:00,2026-01-05 14:45:00+03:00,2026-01-05 14:54:00+03:00,SHORT,11.396,11.394,11.398,11.39,11.392000000000001,TARGET,STRESS,0.0019999999999988916,0.0019999999999988916,1.0,1.7550017550007821,9,,,,,,,,,,,,
2,STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,STRUCTURAL|BREAKOUT_RETEST|CNYRUBF|target=3,2026-01-05 19:20:00+03:00,2026-01-05 19:20:00+03:00,2026-01-05 19:33:00+03:00,LONG,11.421,11.421,11.41,11.454,11.41,STOP,GROSS,-0.010999999999999233,-0.010999999999999233,-1.0,-9.631380789772553,13,,,,,,,,,,,,
2,STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,STRUCTURAL|BREAKOUT_RETEST|CNYRUBF|target=3,2026-01-05 19:20:00+03:00,2026-01-05 19:20:00+03:00,2026-01-05 19:33:00+03:00,LONG,11.421,11.421999999999999,11.41,11.454,11.409,STOP,BASE,-0.012999999999998124,-0.012999999999998124,-1.1818181818180937,-11.382540933366714,13,,,,,,,,,,,,
2,STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,STRUCTURAL|BREAKOUT_RETEST|CNYRUBF|target=3,2026-01-05 19:20:00+03:00,2026-01-05 19:20:00+03:00,2026-01-05 19:33:00+03:00,LONG,11.421,11.423,11.41,11.454,11.408,STOP,STRESS,-0.015000000000000568,-0.015000000000000568,-1.3636363636365105,-13.133701076963986,13,,,,,,,,,,,,
3,STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,STRUCTURAL|BREAKOUT_RETEST|CNYRUBF|target=3,2026-01-06 15:15:00+03:00,2026-01-06 15:15:00+03:00,2026-01-06 15:19:00+03:00,SHORT,11.383,11.383,11.387,11.371,11.387,STOP,GROSS,-0.004000000000001336,-0.004000000000001336,-1.0,-3.5140121233429995,4,,,,,,,,,,,,
3,STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,STRUCTURAL|BREAKOUT_RETEST|CNYRUBF|target=3,2026-01-06 15:15:00+03:00,2026-01-06 15:15:00+03:00,2026-01-06 15:19:00+03:00,SHORT,11.383,11.382,11.387,11.371,11.388,STOP,BASE,-0.006000000000000227,-0.006000000000000227,-1.499999999999556,-5.271018185012938,4,,,,,,,,,,,,
3,STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,STRUCTURAL|BREAKOUT_RETEST|CNYRUBF|target=3,2026-01-06 15:15:00+03:00,2026-01-06 15:15:00+03:00,2026-01-06 15:19:00+03:00,SHORT,11.383,11.380999999999998,11.387,11.371,11.389000000000001,STOP,STRESS,-0.008000000000002672,-0.008000000000002672,-2.0,-7.028024246685999,4,,,,,,,,,,,,
